Name,Class,Intensity,Symmetry
Row   17,1,0.159934,-1.742
Row   33,5,0.32484,-6.360563
Row   37,5,0.25118,-4.389375
Row   43,1,0.124609,-0.474438
Row   46,1,0.219117,-0.9045
Row   52,5,0.3721,-6.381437
Row   53,1,0.244779,-2.505625
Row   57,5,0.229771,-3.042813
Row   67,1,0.105563,-0.218562
Row   70,1,0.151232,-0.25875
Row   78,1,0.201889,-0.887312
Row   80,1,0.176687,-1.909875
Row  117,5,0.290127,-5.095937
Row  122,5,0.306588,-4.924563
Row  127,5,0.303193,-4.426812
Row  129,1,0.193293,-1.158937
Row  132,5,0.140924,-3.127312
Row  134,1,0.202928,-0.54675
Row  148,5,0.352303,-3.970687
Row  157,1,0.131859,-1.020188
Row  159,1,0.167527,-0.543063
Row  181,1,0.114666,-0.374312
Row  189,1,0.129807,-0.552562
Row  191,1,0.139934,-0.583688
Row  193,1,0.112895,-0.449813
Row  196,5,0.248035,-4.82875
Row  202,1,0.111533,-1.83
Row  205,5,0.356383,-5.407938
Row  207,1,0.155316,-0.8105
Row  211,1,0.209295,-0.735812
Row  227,1,0.204629,-1.092688
Row  234,1,0.217953,-2.963687
Row  239,1,0.124695,-0.683438
Row  240,5,0.23983,-4.56275
Row  242,5,0.39183,-5.298938
Row  243,5,0.360863,-5.726312
Row  244,1,0.191029,-0.453937
Row  247,5,0.345961,-5.157375
Row  248,5,0.247604,-3.941312
Row  249,1,0.197834,-0.579562
Row  251,1,0.212754,-0.846938
Row  274,1,0.136955,-0.542937
Row  289,1,0.184189,-0.677562
Row  307,5,0.205854,-3.533187
Row  312,5,0.367213,-5.226
Row  315,1,0.143172,-0.583187
Row  317,1,0.133002,-0.775125
Row  318,1,0.119924,-0.611375
Row  319,1,0.111822,-1.236125
Row  324,5,0.251668,-4.344375
Row  329,1,0.114742,-0.659
Row  333,5,0.195553,-3.239125
Row  342,1,0.130504,-0.62475
Row  344,1,0.113469,-0.347687
Row  347,1,0.236301,-0.596938
Row  349,1,0.163824,-0.460875
Row  352,5,0.201965,-4.143187
Row  355,1,0.137871,-2.034813
Row  359,1,0.110904,-0.400625
Row  360,1,0.168191,-0.418438
Row  363,1,0.195281,-0.641312
Row  365,1,0.127203,-0.282625
Row  370,1,0.127479,-0.807562
Row  373,1,0.176449,-0.714125
Row  375,1,0.154682,-1.505812
Row  380,1,0.166596,-0.825375
Row  384,1,0.178855,-1.043688
Row  386,1,0.174771,-0.899687
Row  389,1,0.15318,-0.6675
Row  391,1,0.194572,-0.99575
Row  393,1,0.182027,-0.866563
Row  394,1,0.141047,-1.740063
Row  398,1,0.139955,-0.298812
Row  399,1,0.127551,-0.554188
Row  401,1,0.151475,-0.44375
Row  404,1,0.140826,-0.635312
Row  409,1,0.244443,-1.056125
Row  413,1,0.22852,-0.640875
Row  414,1,0.140939,-0.280938
Row  419,1,0.174891,-1.16725
Row  422,1,0.259248,-1.523562
Row  424,1,0.219861,-2.388
Row  429,1,0.182439,-0.615437
Row  436,1,0.097322,-0.33125
Row  437,1,0.100738,-2.183562
Row  438,5,0.198963,-3.56375
Row  441,1,0.150576,-0.299187
Row  449,5,0.234521,-3.797375
Row  451,1,0.097842,-0.364
Row  452,1,0.092469,-0.368625
Row  462,5,0.43834,-6.332562
Row  482,5,0.32158,-5.158563
Row  487,1,0.113494,-0.244812
Row  490,5,0.189725,-3.179875
Row  504,1,0.117096,-0.347562
Row  514,1,0.088404,-0.443625
Row  515,1,0.089596,-0.5555
Row  518,1,0.116895,-0.63075
Row  519,5,0.297336,-4.099938
Row  525,1,0.205223,-1.077187
Row  535,1,0.16449,-1.306188
Row  536,1,0.144023,-0.533312
Row  545,1,0.153395,-0.526312
Row  557,5,0.263918,-4.6915
Row  560,1,0.164383,-0.842
Row  562,5,0.285107,-4.185625
Row  573,1,0.115738,-0.442312
Row  579,1,0.129994,-1.351938
Row  584,1,0.14909,-0.96075
Row  586,1,0.084467,-0.452875
Row  594,1,0.140342,-1.464813
Row  600,5,0.286689,-4.868812
Row  602,5,0.45165,-5.737312
Row  605,5,0.259588,-3.709812
Row  606,1,0.190652,-1.014375
Row  609,1,0.217762,-0.528062
Row  612,5,0.451471,-5.843625
Row  614,5,0.503453,-4.411437
Row  620,1,0.144129,-0.87175
Row  623,1,0.124863,-0.666937
Row  629,1,0.102721,-0.558875
Row  641,5,0.441383,-5.786313
Row  644,1,0.198549,-0.526875
Row  651,5,0.389977,-6.515313
Row  653,1,0.200482,-0.969812
Row  663,5,0.222771,-4.127125
Row  665,1,0.174732,-1.1255
Row  672,5,0.347377,-5.65725
Row  676,1,0.251717,-1.494625
Row  686,1,0.182027,-0.698438
Row  697,1,0.171,-0.698
Row  700,1,0.224904,-0.794687
Row  701,5,0.387664,-3.916812
Row  702,1,0.181469,-0.390937
Row  725,1,0.174371,-0.61975
Row  728,1,0.15202,-2.601688
Row  738,1,0.123424,-0.33825
Row  741,1,0.164457,-0.449688
Row  743,1,0.12958,-0.979313
Row  746,1,0.21484,-0.86825
Row  751,5,0.358064,-5.348562
Row  760,1,0.164795,-0.318125
Row  766,1,0.178379,-0.935
Row  767,1,0.151387,-0.952562
Row  768,1,0.20033,-2.143
Row  769,1,0.174391,-0.574313
Row  786,1,0.10366,-0.441875
Row  794,5,0.191244,-3.062125
Row  796,5,0.194727,-2.88725
Row  799,5,0.193064,-3.313875
Row  805,5,0.173664,-3.719937
Row  809,5,0.38942,-6.632937
Row  851,1,0.144551,-1.005875
Row  859,1,0.19617,-0.5875
Row  861,5,0.277305,-3.737875
Row  881,5,0.240395,-3.375
Row  884,1,0.186863,-0.532375
Row  890,1,0.165867,-1.749937
Row  897,1,0.157596,-0.537312
Row  901,1,0.116912,-0.890938
Row  904,1,0.204133,-0.65675
Row  907,5,0.30243,-4.996875
Row  919,5,0.191641,-3.9325
Row  926,1,0.102078,-0.9515
Row  943,1,0.135678,-0.965875
Row  948,1,0.121748,-0.211188
Row  953,5,0.269451,-4.637937
Row  962,5,0.399086,-6.719125
Row  966,5,0.369357,-5.698875
Row  970,1,0.233949,-2.10275
Row  979,1,0.142016,-0.379563
Row  989,1,0.147441,-1.422813
Row  994,5,0.317563,-3.8805
Row 1011,5,0.278338,-4.512125
Row 1012,5,0.295447,-5.484687
Row 1013,1,0.179652,-0.938625
Row 1015,1,0.172893,-1.958625
Row 1018,1,0.066008,-0.81975
Row 1020,1,0.068289,-0.758062
Row 1024,5,0.163535,-3.668375
